SNo,Area,Country/Region,Last Update,Confirmed,Deaths,Recovered
349,Tibet,Mainland China,3/11/2020 2:18,1,0,1
350,,Mauritania,3/15/2020 18:20,1,0,0
351,,Montenegro,3/18/2020 19:53,1,0,0
352,,Nepal,3/13/2020 22:22,1,0,1
353,,North Ireland,2/28/2020 5:43,1,0,0
354,,Saint Barthelemy,3/9/2020 10:43,1,0,0
355,,Saint Vincent and the Grenadines,3/14/2020 16:33,1,0,0
356,,Somalia,3/18/2020 0:53,1,0,0
357,,Suriname,3/14/2020 16:33,1,0,0
358,,The Bahamas,3/16/2020 3:33,1,0,0
359,,Togo,3/13/2020 22:22,1,0,0
360,Cayman Islands,UK,3/16/2020 14:53,1,1,0
361,Montserrat,UK,3/18/2020 11:53,1,0,0
362,"Bennington County, VT",US,3/9/2020 8:53,1,0,0
363,"Berkeley, CA",US,3/3/2020 23:53,1,0,0
364,"Berkshire County, MA",US,3/8/2020 0:43,1,0,0
365,"Boston, MA",US,2/28/2020 21:13,1,0,1
366,"Carver County, MN",US,3/9/2020 8:43,1,0,0
367,"Charleston County, SC",US,3/7/2020 1:53,1,0,0
368,"Charlotte County, FL",US,3/9/2020 8:53,1,0,0
369,"Chatham County, NC",US,3/6/2020 16:13,1,0,0
370,"Cherokee County, GA",US,3/9/2020 3:53,1,0,0
371,"Clark County, WA",US,3/7/2020 20:03,1,0,0
372,"Collin County, TX",US,3/9/2020 18:53,1,0,0
373,"Davidson County, TN",US,3/8/2020 18:03,1,0,0
374,"Davis County, UT",US,3/7/2020 4:43,1,0,0
375,"Delaware County, PA",US,3/6/2020 15:33,1,0,0
376,"Douglas County, OR",US,3/8/2020 19:53,1,0,0
377,"El Paso County, CO",US,3/7/2020 1:13,1,0,0
378,"Fairfield County, CT",US,3/8/2020 21:23,1,0,0
379,"Fayette County, KY",US,3/6/2020 23:23,1,0,0
380,"Fresno County, CA",US,3/8/2020 4:23,1,0,0
381,"Grant County, WA",US,3/9/2020 8:43,1,1,0
382,"Harford County, MD",US,3/8/2020 21:53,1,0,0
383,"Hudson County, NJ",US,3/8/2020 19:43,1,0,0
384,"Humboldt County, CA",US,2/21/2020 5:13,1,0,0
385,"Jefferson County, KY",US,3/9/2020 0:23,1,0,0
386,"Jefferson County, WA",US,3/7/2020 16:43,1,0,0
387,"Jefferson Parish, LA",US,3/9/2020 18:53,1,0,0
388,"Johnson County, KS",US,3/8/2020 0:33,1,0,0
389,"Kittitas County, WA",US,3/8/2020 0:43,1,0,0
390,"Klamath County, OR",US,3/7/2020 20:13,1,0,0
391,"Madera County, CA",US,3/7/2020 20:13,1,0,0
392,"Madison, WI",US,3/3/2020 15:53,1,0,1
393,"Marion County, IN",US,3/6/2020 17:13,1,0,0
394,"Marion County, OR",US,3/8/2020 19:43,1,0,0
395,"Norwell County, MA",US,3/6/2020 2:33,1,0,0
396,"Okaloosa County, FL",US,3/8/2020 3:03,1,0,0
397,"Orange, CA",US,2/1/2020 19:53,1,0,0
398,"Plymouth County, MA",US,3/7/2020 3:53,1,0,0
399,"Polk County, GA",US,3/8/2020 4:13,1,0,0
400,"Queens County, NY",US,3/5/2020 21:43,1,0,0
401,"Ramsey County, MN",US,3/6/2020 23:23,1,0,0
402,"Riverside County, CA",US,3/8/2020 10:33,1,0,0
403,"Rockingham County, NH",US,3/9/2020 22:43,1,0,0
404,"San Antonio, TX",US,2/13/2020 18:53,1,0,0
405,"Santa Cruz County, CA",US,3/7/2020 23:43,1,0,0
406,"Santa Rosa County, FL",US,3/8/2020 15:33,1,1,0
407,"Sarasota, FL",US,3/2/2020 3:23,1,0,0
408,"Shasta County, CA",US,3/9/2020 3:43,1,0,0
